aibohp,	subst,1,-e+ia,,NOUN,NOUN
cai,	strip,1,,+c,N_AFFIX,ADJ|NOUN
citsi,	strip,2,,+ic,N_AFFIX,ADJ|N_AFFIX|NOUN
citi,	ize,1,-e+ic,,N_AFFIX,ADJ
cihparg,i_to_y,1,-y+ic,,NOUN,ADJ|NOUN
cipocs,	ize,1,-e+ic,,NOUN,ADJ
cirtem,	i_to_y,1,-y+ic,,NOUN,ADJ
cigol,	i_to_y,1,-y+ic,,NOUN,ADJ
cimono,	i_to_y,1,-y+ic,,NOUN,ADJ
cibohp,	subst,1,-e+ic,,NOUN,ADJ
de,	strip,1,,+d,ED,ADJ|COMP,i_to_y,2,-y+ied,+ed
dooh,	ily,4,-y+ihood,+hood,NOUN|ADV,NOUN
ecn,	subst,1,-t+ce,,ADJ,N_AFFIX|_Y|NOUN|VERB|ACTOR|V_AFFIX
elbaif,	i_to_y,4,-y+iable,,V_IRREG,ADJ
elba,	CCe,4,-e+able,+able,V_AFFIX,ADJ
evi,	subst,0,-ion+ive,,N_AFFIX|V_AFFIX,NOUN|N_AFFIX|ADJ
ezi,	CCe,3,-e+ize,+ize,N_AFFIX|ADJ,V_AFFIX|VERB|ION|COMP
ekil,	strip,4,,+like,N_AFFIX,ADJ
gniee,	strip,3,,+ing,V_IRREG,ADJ|NOUN
gnikam,	strip,6,,+making,NOUN,NOUN
gnipeek,strip,7,,+keeping,NOUN,NOUN
gni,	CCe,3,-e+ing,+ing,V_IRREG,ADJ|ED|NOUN
ladio,	strip,2,,+al,NOUN|ADJ,ADJ
laci,	strip,2,,+al,NOUN|ADJ,ADJ|NOUN|N_AFFIX
latnem,	strip,2,,+al,N_AFFIX,ADJ
lanoi,	strip,2,,+al,N_AFFIX,ADJ|NOUN
luf,	ily,3,-y+iful,+ful,N_AFFIX,ADJ|NOUN
msi,	CCe,3,-e+ism,ism,N_AFFIX|ADJ,NOUN
margo,	subst,-1,-ph+m,,NOUN,NOUN
noitacifi,i_to_y,6,-y+ication,,ION,NOUN|N_AFFIX
noitazi,ize,4,-e+ation,,ION,NOUN|N_AFFIX
noit,	tion,3,-e+ion,+ion,ION,NOUN|N_AFFIX|V_AFFIX|VERB|ACTOR
naino,	an,3,,+ian,NOUN|PROP_COLLECT,NOUN|N_AFFIX
namow,	strip,5,,+woman,MAN,PROP_COLLECT|N_AFFIX
nam,	strip,3,,+man,MAN,PROP_COLLECT|N_AFFIX|VERB
na,	an,1,,+n,NOUN|PROP_COLLECT,NOUN|N_AFFIX
nemow,	strip,5,,+women,MAN,PROP_COLLECT
nem,	strip,3,,+man,MAN,PROP_COLLECT
pihs,	strip,4,,+ship,NOUN|PROP_COLLECT,NOUN|N_AFFIX
rehparg,subst,1,-y+er,,ACTOR,NOUN,strip,2,,+er
reyhparg,nop,0,,,0,NOUN
rekam,	strip,5,,+maker,NOUN,NOUN
repeek,	strip,6,,+keeper,NOUN,NOUN
re,	strip,1,,+r,ACTOR,NOUN|N_AFFIX|VERB|ADJ,i_to_y,2,-y+ier,+er
rota,	tion,2,-e+or,,ION,NOUN|N_AFFIX|_Y
rotc,	tion,2,,+or,ION,NOUN|N_AFFIX
rotp,	tion,2,,+or,ION,NOUN|N_AFFIX
ssen,	ily,4,-y+iness,+ness,ADJ|ADV,NOUN|N_AFFIX
ssel,	ily,4,-y+iless,+less,NOUN|PROP_COLLECT,ADJ
se,	s,1,,+s,NOUN|V_IRREG,DONT_TOUCH,es,2,-y+ies,+es
s',	s,2,,+'s,PROP_COLLECT|NOUN,DONT_TOUCH
s,	s,1,,+s,NOUN|V_IRREG,DONT_TOUCH
tnem,	strip,4,,+ment,V_AFFIX,NOUN|N_AFFIX|ADJ|VERB
tse,	strip,2,,+st,EST,DONT_TOUCH,i_to_y,3,-y+iest,+est
tsigol,	i_to_y,2,-y+ist,,N_AFFIX,NOUN|N_AFFIX
tsi,	CCe,3,-e+ist,+ist,N_AFFIX|ADJ,NOUN|N_AFFIX|COMP
ytilb,	nop,0,,,0,NOUN
ycn,	subst,1,-t+cy,,ADJ|N_AFFIX,NOUN|N_AFFIX
ytilib,	bility,5,-le+ility,,ADJ|V_AFFIX,NOUN|N_AFFIX
ytisuo,	nop,0,,,NOUN
yti,	CCe,3,-e+ity,+ity,ADJ,NOUN|N_AFFIX
ylb,	y_to_e,1,-e+y,,ADJ,ADV
ylc,	nop,0,,,0
yl,	ily,2,-y+ily,+ly,ADJ,ADV|COMP
yrtem,	subst,0,-er+ry,,NOUN,NOUN|N_AFFIX
y,	CCe,1,-e+y,+y,_Y,ADJ|COMP
